"BSI";"Name";"Resources";"Start";"End";"Note"
1;"Старт проекта социальное такси";"";"01-01-2018 00:00";"01-01-2018 00:00";""
2;"Подготовка описания сервиса";"Простаков Алексей (alex)";"01-01-2018 00:00";"10-01-2018 17:00";"В формате по МР, включая блок-схему работы, перечень входных и вых. данных"
3;"Создание таблицы заявителей и ее отображения в АТН";"Трутнев Дмитрий (dima)";"10-01-2018 17:00";"12-01-2018 17:00";"Создать табличку, в нее поместить в нее данные тестового человека. Сделать отображение в задаче просмотр данных сервисов."
4;"Создание таблицы представителей и ее отображения в АТН";"Трутнев Дмитрий (dima)";"12-01-2018 17:00";"16-01-2018 17:00";"В таблице должна быть возможность добавлять, удалять и искать представителя"
5;"В АСП добавить задачу выгрузки ПКУ для сервиса социальное такси";"Кузнецов Андрей (andrey)";"12-01-2018 17:00";"16-01-2018 17:00";"Проверять можно в задаче просмотра данных сервисов"
6;"Изменение в руководство пользователя АСП ";"Простаков Алексей (alex)";"16-01-2018 17:00";"18-01-2018 17:00";"Описание выгрузки ПКУ для нового сервиса"
7;"Окончание подготовки";"";"18-01-2018 17:00";"18-01-2018 17:00";"Провели подготовку - описание формата сервиса, таблицы на ТИ, выгрузка из АСП"
8;"Создание сервиса, способного отвечать по людям";"";"18-01-2018 17:00";"31-01-2018 17:00";"Большая задача, включает в себя логирование, отображение, документацию, протоколирование"
8.1;"  Создание сервиса, способного отвечать по людям";"Трутнев Дмитрий (dima)";"18-01-2018 17:00";"23-01-2018 17:00";"Должен принимать запросы и отвечать из созданной таблицы"
8.2;"  Написание теста";"Трутнев Дмитрий (dima), Простаков Алексей (alex)";"23-01-2018 17:00";"25-01-2018 17:00";"Ответ ОК, ошибка, нет данных"
8.3;"  Протоколирование в протокол событий и ошибок";"Трутнев Дмитрий (dima)";"25-01-2018 17:00";"29-01-2018 17:00";"По стандартной схеме"
8.4;"  Отображение во входящих запросах";"";"25-01-2018 17:00";"29-01-2018 17:00";"В задаче входящие запросы от СМЭВ и получений XML из этой задачи"
8.5;"  Руководство администратора ТИ";"Трутнев Дмитрий (dima), Простаков Алексей (alex)";"29-01-2018 17:00";"31-01-2018 17:00";"Описание сервиса, просмотр данных сервиса, протоколирование, просмотр входящих запросов, заполнение представителя"
9;"Закончили разработку ПО";"";"31-01-2018 17:00";"31-01-2018 17:00";"Готова АСП, ТИ, документация"
10;"Собрать версию ТИ";"Трутнев Дмитрий (dima)";"31-01-2018 17:00";"02-02-2018 17:00";"Собрать версию и change для нее, с описание этой доработки"
11;"Письмо в Тюмень";"Простаков Алексей (alex)";"02-02-2018 17:00";"06-02-2018 17:00";"Написать в Тюмень о выполнении: версия ТИ, версия АСП. Приложить док. на сервис, ссылки на разделы руководства пользователя АСП и ТИ"
12;"Окончание проекта социальное такси";"";"06-02-2018 17:00";"06-02-2018 17:00";"Версии ПО и документацию передали заказчику"
